"","Line #","Name","Description","Designator","Revision Status","Quantity","Footprint","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Subtotal 1"
,"","RT0603BRE074K7L, DNL","RES SMD 4.7K OHM 0.1% 1/10W 0603","R113, R215, R216, R250, R251, R252, R253, R254, R255, R256, R257, R259, R260, R261, R262, R263, R264, R265, R266, R275, R276, R277, R278, R279, R280, R281, R282, R705, R706, R707, R708, R709, R710, R711, R712, R713, R714, R715, R716, R750, R751, R800, R801, R803, R804, R805, R806, R807, R808, R809, R810, R811, R812, R814, R851, R852, R853, R854, R856, R857, R858, R898, R899, R8855","Up to date","64","FP-RT0603-MFG","Yageo","RT0603BRE074K7L","Volume Production","Newark","69AK5029","6.592"
,"","CRCW0603499KFKEA","RES Thick Film, 499kΩ, 1%, 0.1W, 100ppm/°C, 0603","R117","Up to date","1","FP-CRCW0603-e3-IPC_B","Vishay","CRCW0603499KFKEA","Volume Production","Newark","27W4274","0.03"
,"","CRCW06031M20FKEA","RES Thick Film, 1.2MΩ, 1%, 0.1W, 100ppm/°C, 0603","R119, R134","Up to date","2","FP-CRCW0603-e3-IPC_A","Vishay","CRCW06031M20FKEA","Volume Production","Newark","27W4071","0.19"
,"","CRCW06031K05FKEA","RES Thick Film, 1.05kΩ, 1%, 0.1W, 100ppm/°C, 0603","R125","Up to date","1","FP-CRCW0603-e3-MFG","Vishay","CRCW06031K05FKEA","Volume Production","Newark","52K8020","0.005"
,"","CRCW0603121RFKEA","RES Thick Film, 121Ω, 1%, 0.1W, 100ppm/°C, 0603","R126","Up to date","1","FP-CRCW0603-e3-IPC_A","Vishay","CRCW0603121RFKEA","Volume Production","Newark","52K8116","0.003"
,"","CRCW06032K20FKEAHP","RES Thick Film, 2.2kΩ, 1%, 0.33W, 100ppm/°C, 0603","R301, R307, R315","Up to date","3","FP-CRCW0603-HPe3-IPC_A","Vishay","CRCW06032K20FKEAHP","Volume Production","Newark","65AC3387","0.066"
,"","RC0603JR-070RL, DNL","Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R328, R329, R332, R333, R334, R335, R336, R337, R358, R481, R482, R861, R862, R863, R864, R865, R866, R867, R868, R869, R870, R871, R872, R873, R874, R875, R876, R877, R878, R879, R880","Up to date","31","RESC1608X55X25ML10T15","Yageo","RC0603JR-070RL","Volume Production","Mouser","603-RC0603JR-070RL","0.279"
,"","CRCW06030000Z0EAHP","RES Thick Film, 0Ω, , 0.33W, , 0603","R342, R405","Up to date","2","FP-CRCW0603-HPe3-MFG","Vishay Dale","CRCW06030000Z0EAHP","Volume Production","Digi-Key","541-0.0SBCT-ND","0.28"
,"","CRCW0603300RFKEA","RES Thick Film, 300Ω, 1%, 0.1W, 100ppm/°C, 0603","R510, R516, R543, R548","Up to date","4","FP-CRCW0603-e3-IPC_A","Vishay","CRCW0603300RFKEA","Volume Production","Mouser","71-CRCW0603-300-E3","0.17"
,"","MCR03ERTF2493","Thick Film Chip Resistor, 0603, 249kΩ, 1%, 100ppm/°C, 0.1W, 50V","R517, R525, R535, R549","Up to date","4","FP-MCR03-IPC_C","Rohm","MCR03ERTF2493","Volume Production","","",""
,"","5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP325, TP326, TP330, TP331, TP350, TP351, TP353, TP403, TP404, TP405, TP500, TP501","Up to date","12","KSTN-5003","Keystone Electronics","5003","Volume Production","Farnell","2301280","3.24654"
,"","R-78E15-0.5","Power Supply","U100","","1","R78E1205","","","","","",""
,"","LTC1144IS8#PBF","Switched-Capacitor Wide Input Range Voltage Converter with Shutdown, 8-pin SOIC (S8-8), -40 to 85 degC, Pb-Free","U102, U123","Up to date","2","LT-S8-8_L","Analog Devices / Linear Technology","LTC1144IS8#PBF","Volume Production","Arrow Electronics","LTC1144IS8#PBF","9.8672"
,"","R-78E5.0-1.0","Power Supply","U105","","1","R78E5010","","","","","",""
,"","LM1085ISX-ADJ/NOPB","3A Low Dropout Positive Regulators, 3-pin TO-263, Pb-Free","U107","Up to date","1","KTT0003B_M","TI National Semiconductor","LM1085ISX-ADJ/NOPB","Volume Production","Mouser","926-LM1085ISXADJNOPB","1.99"
,"","R-78E9.0 0.5","Power Supply","U112","","1","R78E5010","","","","","",""
,"","LT3085EMS8E#TRPBF","LDO Regulator Pos 0V to 36V 0.5A 8-Pin MSOP EP T/R","U117, U130","Up to date","2","LT-MS8E-8-1880X1680TP_M","Analog Devices / Linear Technology","LT3085EMS8E#TRPBF","Volume Production","Arrow Electronics","LT3085EMS8E#TRPBF","11.13"
,"","LT3094EMSE#PBF","Integrated Circuit","U119","","1","SOP65P490X110-13N","","","","","",""
,"","TCR2LF33,LM(CT","IC REG LINEAR 3.3V 200MA SMV","U180","Up to date","1","FP-SSOP5-P-0_95-MFG","Toshiba","TCR2LF33,LM(CT","Volume Production","Arrow Electronics","TCR2LF33,LM(CT","0.27"
,"","P82B96TD,118","IC REDRIVER I2C 1CH 400KHZ 8SO","U250, U254, U258, U262","Up to date","4","FP-SOT96-1-MFG","NXP Semiconductors","P82B96TD,118","Volume Production","Mouser","771-P82B96TD-T","17.36"
,"","MCP4716A1T-E/CH","10-Bit Voltage Output Digital-to-Analog Converter with EEPROM and I2C Interface, 6-Pin SOT-23, Extended Temperature, Tape and Reel","U300","Up to date","1","SOT-23-CH6_N","Microchip","MCP4716A1T-E/CH","Volume Production","Arrow Electronics","MCP4716A1T-E/CH","1.0258"
